Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
mullerwille1995,The ship as symbol in prehistoric and medieval scandinavia. Copenhagen: National Museum of Denmark,"Müller-Wille, Michel","Crumlin-Pedersen, Ole; Thye, B Munch",,1995,1995,,misc,article,,,Department of Archaeology and Early History,,,101--110,,,,,F2,,,,0.75,"partial (missing: url, note)",,,,Bonde and Stylegar 2016 - Between Sutton Hoo and Oseberg – Dendrochronology and the Origins of the Ship Burial Tradition.pdf,,"Müller-Wille, M., 1995. Boat-graves, old and new views. In: O. Crumlin-Pedersen and B.M. Thye, eds. The ship as symbol in prehistoric and medieval scandinavia. Copenhagen: National Museum of Denmark, Department of Archaeology and Early History, 101-110.",bonde2016,,
osullivan2015,Strung along: Re-evaluating gendered views of Viking-Age beads,"O'sullivan, J.",,,2015,2015,Medieval Archaeology,article,,Four Courts Press,,,59,,177--182,,,,,F1,,,,0.83,"partial (missing: number, doi)",,,,O’Sullivan 2015 - Strung along Re-evaluating Gendered Views of Viking-Age Beads.pdf,,"O'Sullivan, J. (2015). Strung along: Re-evaluating gendered views of Viking-Age beads. Medieval Archaeology 59: 73-86.","lund2021, osullivan2015",,
hardh2004,He Metal Beaker with Embossed Foil Bands,"Hårdh, Birgitta","Larsson, Lars",,2004,2004,"Continuit� for Centuries. � ceremonial building and its context at uppåkra, southern Sweden",incollection,,Almqvist and Wiksell International,,,,,,Stockholm; Stockholm,,,,F2,,,,0.83,"partial (missing: pages, location)",,,,Hedeager 2010 - Split Bodies in the Late Iron AgeViking Age of Scandinavia.pdf,,"Hårdh, B. 2004. ""he metal beaker with embossed foil bands,"" in L. Larsson (ed.) Continuit� for Centuries. � ceremonial building and its context at uppåkra, southern Sweden. Stockholm: Almqvist Stockholm: Almqvist and Wiksell International.","hedeager2010, larsson2007",,
morck1900,"Indberetning om arkaeologiske undersøgelser paa Nordre Kjølen, Aasnes pgd. Soløer' , Foreningen til fortidsmindesmaerkes bevaring. Aarsberetning for 1900","Mørck, Gustav",,,1900,1900,,book,,,,,,,68--74,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Gardeła and Odebäck 2018 - Miniature Shields in the Viking Age A Reassessment.pdf,,"Mørck, Gustav. 1900. 'Indberetning om arkaeologiske undersøgelser paa Nordre Kjølen, Aasnes pgd. Soløer' , Foreningen til fortidsmindesmaerkes bevaring. Aarsberetning for 1900, 68-74","gardela2018, moen2020",,
lazaridis2014,Ancient Human Genomes Suggest Three Ancestral Populations for Present-day Europeans,"Lazaridis, Iosif; Patterson, Nick; Mittnik, Alissa; Renaud, Gabriel; Mallick, Swapan; Kirsanow, Karola; Winkler, Cheryl A.; Yepiskoposyan, C. A.; Zalloua, Pierre; Zemunik, Tatijana; Cooper, Alan; Capelli, Cristian; Thomas, Christian D.; Ruiz-Linares, Andres; Tishkoff, Sarah A.; Singh, S. A.; Thangaraj, Kumarasamy; Villems, Richard; Comas, David; Sukernik, Rem; Metspalu, Mait; Meyer, Matthias; Eichler, Evan E.; Burger, Joachim; Slatkin, Montgomery; Pääbo, Svante; Kelso, Janet; Reich, David; Krause, Johannes; J.",,,2014,2014,Nature,article,,Springer Science and Business Media LLC,,,513,7518,409--413,,10.1038/nature13673,,,F2,,,crossref,1.00,complete,,,,Furholt 2018 - Massive Migrations The Impact of Recent aDNA Studies on Our View of Third Millennium Europe.pdf,,"Lazaridis, I., Patterson, N., Mittnik, A., Renaud, G., Mallick, S., Kirsanow, K., et al. 2014. Ancient Human Genomes Suggest Three Ancestral Populations for Present-day Europeans. Nature, 513(7518): 409-13. doi:10.1038/ nature13673","furholt2018, hedenstiernajonson2017, krzewinska2018",,
vanderleeuw2014,Transforming Lessons From the past into Lessons for the Future,"Van Der Leeuw, Sander E.",,,2014,2014,Archeol. Pap. Am. Anthropol. Assoc,article,,Wiley,,,24,1,215--231,,10.1111/apaa.12039,,,F2,,,crossref,1.00,complete,,,,"Catlin 2016 - Archaeology for the Anthropocene Scale, Soil, and the Settlement of Iceland.pdf",,"van der Leeuw, S.E., 2014. Transforming lessons from the past into lessons for the future. Archeol. Pap. Am. Anthropol. Assoc. 24 (1), 215-231.",catlin2016,,
berglund1995,"Tjøtta-riket-en arkeologisk undersøkelse av maktforhold og sentrumsdannelser på Helgelandskysten fra Kr. f. til 1700 e. Kr. UNIT, Vitenskapsmuseet, Fakultet for arkeologi og kulturhistorie, Arkeologisk avdeling","Berglund, Björn E.",,,1995,1995,,book,,,"Trondheim, Norway",,,,619,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Baug et al  2019 - The Beginning of the Viking Age in the West.pdf,,"Berglund B (1995) Tjøtta-riket. En arkeologisk undersøkelse av maktforhold og sentrumsdannelser på Hel- gelandskysten fra Kr. f. til 1700 e. Kr. UNIT, Vitenskapsmuseet","baug2019, iversennd, storli2010c",,
domanska2010,Beyond Anthropocentrism in Historical Studies,"Domanska, E.",,,2010,2010,Historein. A Review of the Past and Other Stories,article,,,,,10,,120--132,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Solli et al  2011 - Some Reflections on Heritage and Archaeology in the Anthropocene.pdf,,"Domanska, E. 2010. Beyond anthropocentrism in historical studies. Historein. A Review of the Past and Other Stories 10. 120-132.",solli2011,,
lund1989,Allies of God or man? The Viking expansion in a European perspective,"Lund, Niels",,,1989,1989,Viator,article,,Brepols Publishers NV,,,20,,45--59,,10.1484/j.viator.2.301347,,,F2,,,crossref,0.92,complete (missing: number),,,,Barrett 2008 - What Caused the Viking Age.pdf,,"Lund, N. 1989. Allies of God or man? The Viking expansion in a European perspective. Viator 20: 45-59.","barrett2008, barrett2010",,
holm1995,Trekk av Vardals agrare historie. Varia 31. Universitetets Oldsaksamling,"Holm, Ingunn",,,1995,1995,,book,,,Oslo,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Øye 2016 - Agrarian technology and land use in Scandinavian landscapes c. 800-1300 AD.pdf,,"Holm, I. 1995: Trekk av Vardals agrare historie. Varia 31. Universitetets Old- saksamling. Oslo.",oye2016,,
lerbom1915,Mellan tvà riken,"Lerbom, Jens",,,1915,1915,"Gleeru Lindström, Gustaf. 1895 . Anteckningar Lönnqvist, Olov, and Gun Widmark. 19 sed",incollection,,,,Studia Históric Lindroth,,,145--159,"IV, Lund",,,,F2,,,,0.75,"partial (missing: editor, publisher, location)",,,,"Myrberg 2008 - Room for All Spaces and Places for Thing Assemblies The Case of the All-Thing on Gotland, Sweden.pdf",,"Lerbom, Jens. 2003. Mellan tvà riken: In Gotland 1500-1700 , Studia Históric Lindroth, Hjalmar. 1915. 'Gutnal ķin Sprâkliga Uppsatser , IV, Lund: Gleeru Lindström, Gustaf. 1895 . Anteckningar Lönnqvist, Olov, and Gun Widmark. 19 sed (1996-97), 145-59",myrberg2008,,
bjorn1934,Universitetets Oldsaksamlings Årbok,"Bjørn, Anathon",,,1934,1934,,book,,,,,,,,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Amundsen 2017 - Changing Histories and Ethnicities in a Sámi and Norse Borderland.pdf,,"Bjørn, Anathon. 1934. ""Hedmarks Stenalder."" Universitetets Oldsaksamlings Årbok 1931-1932: 1-130.",amundsen2017,,
peets2012,Research results of the Salme ship burials in 2011-2012. Archaeological Fieldwork in Estonia,"Peets, Jüri; Allmäe, Raili; Maldre, Liina; Saage, Ragnar; Tomek, Teresa; Lõugas, Lembi",,,2012,2012,Arheoloogilised välitööd Eestis. Archeol. Fieldwork Estonia,article,,Muinsuskaitseamet,Estonia,,2012,,43--60,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Aannestad 2018 - The Allure of the Foreign The Social and Cultural Dimension of Imports in Scandinavia in the Viking.pdf,,"Peets, Jüri, and others. 2012. 'Research Result of the Salme Ship Burials in 2011-2012' , Archaeological Fieldwork in Estonia, 43-60","aannestad2018, bill2019, gustavsson2015, hennius2018, odeback2018, raffield2016, price2020, price2016, +2 more",,
ayliffe1990,Oxygen Isotope Composition of the Bone Phosphate of Australian Kangaroos: Potential as a Palaeoenvironmental Recorder,"Ayliffe, Linda K.; Chivas, Allan R.",,,1990,1990,Geochim. Cosmochim. Acta,article,,Elsevier BV,,,54,9,2603--2609,,10.1016/0016-7037(90)90246-h,,,F2,,,crossref,1.00,complete,,,,Becker and Grupe 2012 - Archaeometry meets archaeozoology Viking Haithabu and medieval Schleswig reconsidered.pdf,,"Ayliffe LK, Chivas AR (1990) Oxygen isotope composition of the bone phosphate of Australian kangaroos: potential as a palae- oenvironmental recorder. Geochim Cosmochim Acta 54:2603- 2609 AZA ONLINE: www.zbsa.eu/publications","becker2012, price2018",,
theliander2010,Från hedniskt till kristet: förändringar i begravningsbruk och gravskick i skandinavien c:a 800-1200,"Theliander, C.","B., Nilsson,",,2010,2010,,book,,Sällskapet Runica et mediaevalia,Stockholm,,,,165--196,,,,,F2,,,,0.89,complete (missing: isbn),,,,Fahlander 2016 - The Materiality of the Ancient Dead Post-burial Practices and Ontologies of Death in Southern Swede.pdf,,"Theliander, C. 2010. Gravskicket och Västergötlands kristnande, In: Nilsson, B. (Ed.). Från hedniskt till kristet: Förändringar i begravningsbruk och gravskick i Skandi- navien c:a 800-1200. Pp. 165-196. Stockholm: Sällskapet Runica et mediaevalia.",fahlander2016,,
gardeland,,"Gardela, Leszek",,,,,,misc,article,,,,,,,,,,,F1,,,,0.25,"minimal (missing: title, date, url, note)",,,,Gardeła 2014 - Death in the Margin. The Landscape Context of Viking Age Deviant Burials.pdf,,,lund2021,,
holtorf2005,From Stonehenge to Las Vegas: archaeology as popular culture,"Holtorf, Cornelius J.",,,2005,2005,,book,,AltaMira Press,"Walnut Creek, CA",,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Rasmussen 2014 - Securing Cultural Heritage Objects and Fencing Stolen Goods A Case Study on Museums and Metal Detec.pdf,,"Holtorf, C., 2005. From Stonehenge to Las Vegas: archaeology as popular culture. Walnut Creek, CA: AltaMira Press.","rasmussen2014, solli2011",,
zachrisson2012a,Birkas Borg: Plats för Kyrka och Biskopsborg?,"Zachrisson, T.","Hedenstierna-Jonson, C.",,2012,2012,Birka Nu,incollection,,,,"The National Historical Museum, Stockholm Studies 22",,,199--211,,,,,F2,llm_bib_reparse,,,0.75,"partial (missing: editor, publisher, location)",,"Corrected author, listed last, will trigger a rename.","title, editor, booktitle, series, author","Kalmring et al  2017 - At Home with Herigar A Magnate’s Residence from the Vendel to Viking Period at Korshamn, Birka (Upp.pdf",,,kalmring2017,,
ambrosiani2001,Rus' na perehresti svitiv (mižnarodni vplyvy na formuvannja Davnjoruskoji deržavy I -XI st,"Ambrosiani, Björn; Androshchuk, Fedir",,,2001,2001,P. P. To l o 7ko,article,,Androshchuk,Stockholm,,5,6,3--16,,,,,F2,,,,0.92,complete (missing: doi),,,,Ambrosiani and Gustin 2015 - Small Things and Wide Horizons from a Birka Perspective.pdf,,"Ambrosiani, B. 2001. The Birka Falcon. Eastern Connec- tions Part One: The Falcon Motif. Birka Studies, 5. Stockholm.","ambrosiani2015, androshchuk2010, hedenstiernajonson2015, helmbrecht2012",,
hobbesnd,,"Hobbes, T.",,,1651,1651,,misc,,,,,,,,,,,,F2,,,,0.50,"partial (missing: title, url, note)",,,,Svendsen 2019 - Two Bandits or More The Case of Viking Age England.pdf,,"Hobbes, T. (1651) [1985].",svendsen2019,,
trigger1986,The role of technology in V. Gordon Childe's archaeology,"Trigger, Bruce G.",,,1986,1986,Norwegian Archaeological Review,article,,Informa UK Limited,,,19,1,1--14,,10.1080/00293652.1986.9965426,,,F2,,,crossref,1.00,complete,,,,Croix et al  2019 - The Réseau Opératoire of Urbanization Craft Collaborations and Organization in an Early Medieval Wo.pdf,,"Trigger, B.G., 1986. The role of technology in V. Gordon Childe's archaeology. Norwegian Archaeological Review 19(1), 1-14.",croix2019,,
clark1936,The Mesolithic Settlement of Northern Europe,"Clark, J. G. D.",,,1936,1936,,book,,Cambridge University Press,Cambridge,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Solli et al  2011 - Some Reflections on Heritage and Archaeology in the Anthropocene.pdf,,"Clark, J.G.D. 1936. The Mesolithic Settlement of Northern Europe. Cambridge University Press, Cambridge.",solli2011,,
shahackgross2005,Geoarchaeology in an urban context: the uses of space in a Phoenician monumental building at Tel Dor (Israel),"Shahack-Gross, Ruth; Albert, Réka; Gilboa, Ayelet; Nagar-Hilman, Orna; Sharon, Ilan; Weiner, Steve",,,2005,2005,J. Archaeol. Sci,article,,Elsevier BV,,,32,9,1417-1431,,10.1016/j.jas.2005.04.001,,,F2,,,crossref,1.00,complete,,,,Milek and Roberts 2013 - Integrated Geoarchaeological Methods for the Determination of Site Activity Areas A Study of a Viki.pdf,,"Shahack-Gross, R., Albert, R.-M., Gilboa, A., Nagar-Hilman, O., Sharon, I., Weiner, S., 2005. Geoarchaeology in an urban context: the uses of space in a Phoenician monumental building at Tel Dor (Israel). J. Archaeol. Sci. 32, 1417e1431.",milek2013,,
petersen1928,"Die Schatzfunde Gotlands der Wikingerzeit, I Text","Petersen, J. Magnus; Vikingtidens Smykker (stavanger, ;. M.; Stenberger",,,1928,1928,British Archaeology,article,book,Almqvist & Wiksell,Stavanger Museum. Stavanger,,29,,267--276,,,,,F2,,,,0.89,complete (missing: isbn),,"Trimmed trailing citation fragment, real title preserved.","cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, cited_by, +487 more",Glørstad 2012 - Sign of the Times The Transfer and Transformation of Penannular Brooches in Viking-Age Norway.pdf,,"Petersen, J., 1928. Vikingetidens smykker. Stavanger museums skrifter, 2. Stavanger: Stavanger museum.","glorstad2012, glorstad2014, glorstad2015, heenpettersen2019, gardela2018, heenpettersen2014, jagodzinski2014, ijssennagger2015, +7 more",,
miller2005,"Materiality (Politics, History and Culture)",Miller,"Miller, D.",,2005,2005,,misc,,Duke University Press,Durham,,,,,,,,,F2,llm_from_footnote,,,0.50,"partial (missing: title, url, note)",,Recovered.,"title, editor, publisher, location, title, editor, publisher, location, +436 more",Price 2010 - Passing into Poetry Viking-Age Mortuary Drama and the Origins of Norse Mythology.pdf,Eg Olsen 2003;DeMarrais et al 2004; Miller 2005.,,price2010,,
